ecoregion_id,ECO_NAME,BIOME_NAME,REALM,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct
13,Northern Annamites rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,121497,14248,11.727,0.9934,1.0
2,Central Indochina dry forests,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,921885,11560,1.254,0.998,0.8942
14,Northern Indochina subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,931371,10218,1.0971,1.0,1.0
9,Luang Prabang montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,195219,10007,5.126,0.9113,1.0
19,Southeast Indochina dry evergreen forests,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,270439,6140,2.2704,0.9962,0.9982
11,Mindanao-Eastern Visayas rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,309143,5149,1.6656,0.9999,0.9997
16,Nujiang Langcang Gorge alpine conifer and mixed forests,Temperate Conifer Forests,Palearctic,16983,4284,25.2252,0.9997,1.0
9,Luzon rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,282840,3546,1.2537,0.9993,0.9986
15,Northern Triangle subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,131568,1389,1.0557,1.0,0.9962
9,Luzon montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,17241,1365,7.9172,1.0,1.0
24,Tenasserim-South Thailand semi-evergreen rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,238253,1296,0.544,0.9975,0.4748
5,Greater Negros-Panay rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,103492,1271,1.2281,1.0,1.0
20,Southern Annamites montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,116021,1188,1.024,0.9997,0.9345
11,Mindanao montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,44506,548,1.2313,1.0,1.0
4,Chin Hills-Arakan Yoma montane forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,99393,510,0.5131,0.9999,0.5136
14,Northern Khorat Plateau moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,53070,291,0.5483,0.9999,0.5491
11,Mindoro rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,24566,193,0.7856,1.0,0.7878
15,Northern Thailand-Laos moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,107166,98,0.0914,1.0,0.0915
21,Sulawesi lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,326389,86,0.0263,1.0,0.0264
3,Chao Phraya lowland moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,56562,45,0.0796,0.9994,0.0796
12,Myanmar Coast mangroves,Mangroves,Indomalayan,66125,27,0.0408,0.8416,0.0
10,Luzon tropical pine forests,Tropical & Subtropical Coniferous Forests,Indomalayan,19518,21,0.1076,1.0,0.1077
7,Indochina mangroves,Mangroves,Indomalayan,73758,19,0.0258,1.0,0.0258
12,Myanmar coastal rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,218044,12,0.0055,1.0,0.0055
3,Chao Phraya freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,125277,6,0.0048,1.0,0.0048
7,Irrawaddy moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,467734,5,0.0011,1.0,0.0011
