ecoregion_id,ECO_NAME,BIOME_NAME,REALM,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct
6,Colorado Plateau shrublands,Deserts & Xeric Shrublands,Nearctic,1170198,9964,0.8515,0.9672,0.6479
11,Mojave desert,Deserts & Xeric Shrublands,Nearctic,322186,2269,0.7043,0.9886,0.5995
4,Central Pacific Northwest coastal forests,Temperate Conifer Forests,Nearctic,228687,600,0.2624,0.9983,0.2476
17,Sonoran desert,Deserts & Xeric Shrublands,Nearctic,419034,362,0.0864,0.9997,0.0864
19,Upper Midwest US forest-savanna transition,Temperate Broadleaf & Mixed Forests,Nearctic,777477,291,0.0374,0.9965,0.0363
3,California montane chaparral and woodlands,"Mediterranean Forests, Woodlands & Scrub",Nearctic,45867,120,0.2616,0.9978,0.2533
0,Appalachian mixed mesophytic forests,Temperate Broadleaf & Mixed Forests,Nearctic,843006,113,0.0134,0.9996,0.0134
13,Northern Shortgrass prairie,"Temperate Grasslands, Savannas & Shrublands",Nearctic,3004626,87,0.0029,0.9888,0.0021
18,Southeast US conifer savannas,"Temperate Grasslands, Savannas & Shrublands",Nearctic,2103369,83,0.0039,0.9729,0.002
5,Central US forest-grasslands transition,"Temperate Grasslands, Savannas & Shrublands",Nearctic,1148591,79,0.0069,0.9991,0.0068
12,New England-Acadian forests,Temperate Broadleaf & Mixed Forests,Nearctic,872864,68,0.0078,0.4258,0.0005
10,Klamath-Siskiyou forests,Temperate Conifer Forests,Nearctic,215259,64,0.0297,0.9845,0.0218
3,California interior chaparral and woodlands,"Mediterranean Forests, Woodlands & Scrub",Nearctic,311323,60,0.0193,0.9992,0.0193
5,Central-Southern US mixed grasslands,"Temperate Grasslands, Savannas & Shrublands",Nearctic,1308537,38,0.0029,0.9999,0.0029
18,Southern Great Lakes forests,Temperate Broadleaf & Mixed Forests,Nearctic,1058660,38,0.0036,1.0,0.0036
7,Eastern Great Lakes lowland forests,Temperate Broadleaf & Mixed Forests,Nearctic,224669,37,0.0165,0.9996,0.0165
3,California coastal sage and chaparral,"Mediterranean Forests, Woodlands & Scrub",Nearctic,82863,36,0.0434,0.9575,0.0133
9,Great Basin shrub steppe,Deserts & Xeric Shrublands,Nearctic,1390089,30,0.0022,0.9672,0.0014
20,Wasatch and Uinta montane forests,Temperate Conifer Forests,Nearctic,211668,30,0.0142,0.9982,0.0142
12,Northern California coastal forests,Temperate Conifer Forests,Nearctic,56538,25,0.0442,0.9985,0.0442
4,Central Tallgrass prairie,"Temperate Grasslands, Savannas & Shrublands",Nearctic,1787534,20,0.0011,0.9999,0.0011
4,Canadian Aspen forests and parklands,"Temperate Grasslands, Savannas & Shrublands",Nearctic,804376,18,0.0022,0.9979,0.0022
10,Mid-Atlantic US coastal savannas,"Temperate Grasslands, Savannas & Shrublands",Nearctic,321552,14,0.0044,0.937,0.0009
1,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic,712852,13,0.0018,0.9965,0.0018
11,Montana Valley and Foothill grasslands,"Temperate Grasslands, Savannas & Shrublands",Nearctic,506784,11,0.0022,0.9993,0.0022
20,Western shortgrass prairie,"Temperate Grasslands, Savannas & Shrublands",Nearctic,2278643,10,0.0004,0.998,0.0004
17,South Central Rockies forests,Temperate Conifer Forests,Nearctic,723175,5,0.0007,0.9989,0.0007
16,Sierra Nevada forests,Temperate Conifer Forests,Nearctic,169602,5,0.0029,0.9949,0.0029
